Adress,Drv Reg 0,Flash 0,Drv Reg 1,Flash 1
0x0,0xac,,0x0,
0x1,0x80,,0x80,
0x2,0x0,,0x0,
0x3,0x40,,0x40,
0x4,0x0,,0x0,
0x5,0x0,,0x0,
0x6,0x0,,0x0,
0x7,0x0,,0x0,
0x8,0x0,,0x0,
0x9,0x0,,0x0,
0xa,0x0,,0x0,
0xb,0x0,,0x0,
0xc,0x0,,0x0,
0xd,0x0,,0x0,
0xe,0x0,,0x0,
0xf,0x0,,0x0,
0x10,0xf,,0x4f,
0x11,0xc,,0x0,
0x12,0xcd,,0x0,
0x13,0x1,,0x0,
0x14,0x38,,0x0,
0x15,0x0,,0x0,
0x16,0x53,,0x0,
0x17,0x4,,0x0,
0x18,0x3,,0x0,
0x19,0x16,,0x0,
0x1a,0x68,,0x0,
0x1b,0x56,,0x0,
0x1c,0xff,,0x0,
0x1d,0x0,,0x0,
0x1e,0x0,,0x0,
0x1f,0x0,,0x0,
0x20,0x5d,0x5d,0x5d,0x5d
0x21,0x2e,0x2e,0x2e,0x2e
0x22,0x2a,0x2a,0x2a,0x2a
0x23,0x0,0x0,0x0,0x0
0x24,0x98,0x98,0x98,0x98
0x25,0xe4,0xe4,0xe4,0xe4
0x26,0x7a,0x7a,0x7a,0x7a
0x27,0xf4,0xf4,0xf4,0xf4
0x28,0x69,0x69,0x69,0x69
0x29,0xb9,0xb9,0xb9,0xb9
0x2a,0xad,0xad,0xad,0xad
0x2b,0xc,0xc,0xc,0xc
